decile,n,y_true_mean,y_pred_mean,bias
1,10.0,4636.951998780922,7854.103445397492,3217.15144661657
2,10.0,12104.764070973517,11490.556957787514,-614.207113186003
3,10.0,11761.914249201278,14675.757645122472,2913.8433959211943
4,10.0,18598.198067978534,18648.84596277646,50.64789479792671
5,10.0,19791.35235856135,21046.14285015084,1254.7904915894906
6,10.0,29345.640213715014,26467.53714923592,-2878.1030644790953
7,10.0,33134.01028293656,29831.969240410137,-3302.04104252642
8,10.0,38424.54911047989,32677.627340251132,-5746.921770228761
9,10.0,39793.653733986044,35024.302097457534,-4769.35163652851
10,10.0,45562.82269467984,41713.61956491664,-3849.2031297631984
