decile,n,y_true_mean,y_pred_mean,bias
1,10.0,26208.95598755832,24807.741940011856,-1401.2140475464657
2,10.0,23446.88131216001,24807.74194001186,1360.8606278518491
3,10.0,22996.80840057935,24810.042756015857,1813.234355436507
4,10.0,33743.467859443925,24820.183723225644,-8923.28413621828
5,10.0,25814.26615847112,24820.183723225644,-994.0824352454765
6,10.0,24274.49151720795,24860.881824979344,586.3903077713949
7,10.0,21542.40696422161,25037.103010126717,3494.696045905108
8,10.0,26586.265783457413,25097.05148719748,-1489.2142962599319
9,10.0,22810.802550039178,25157.04269363395,2346.2401435947722
10,10.0,23254.72970316493,25338.893738013692,2084.1640348487635
