iter	RMSE
0	13597.16648
1	13589.62058
2	13218.08445
3	13084.76471
4	13084.76316
5	13024.98255
6	13021.7924
7	12989.12106
8	12982.58787
9	12907.85915
10	12840.58448
11	12700.81775
12	12588.41743
13	12561.28863
14	12561.26458
15	12557.33898
16	12533.66328
17	12293.41248
18	12293.41154
19	12198.38082
20	12154.74687
21	12058.3563
22	11871.27959
23	11640.03018
24	11598.7831
25	11575.48712
26	11511.43422
27	11502.50697
28	11487.47383
29	11479.16347
30	11380.18873
31	11370.76257
32	11290.91543
33	11264.46653
34	11113.18381
35	11077.32424
36	11046.59559
37	11043.89297
38	10948.92445
39	10903.25104
40	10902.28019
41	10795.2836
42	10792.47409
43	10792.47098
44	10788.23364
45	10735.28245
46	10735.28108
47	10718.3739
48	10698.86701
49	10651.50948
50	10598.68077
51	10454.61269
52	10337.09716
53	10255.16884
54	10117.45118
55	9999.641767
56	9905.283651
57	9664.53539
58	9497.45919
59	9358.956396
60	9288.785433
61	9157.338612
62	9046.819076
63	8951.227099
64	8804.615432
65	8680.469705
66	8588.499339
67	8467.318357
68	8380.124779
69	8227.602981
70	8150.692238
71	8083.936688
72	8016.696701
73	7974.147079
74	7857.870287
75	7777.671693
76	7663.925739
77	7542.232832
78	7462.208517
79	7404.633522
80	7348.332458
81	7305.757192
82	7202.017462
83	7093.599893
84	7065.934979
85	6999.061995
86	6974.320333
87	6924.086588
88	6882.356579
89	6841.210686
90	6808.290414
91	6702.092663
92	6641.63005
93	6536.400185
94	6492.147105
95	6421.380793
96	6378.232597
97	6347.438635
98	6313.630706
99	6245.202176
100	6195.505229
101	6119.210423
