iter	Passed	Remaining
0	10	10360
1	19	9939
2	39	13730
3	58	15116
4	62	12825
5	80	13884
6	86	12783
7	100	12955
8	109	12461
9	128	13184
10	139	13048
11	159	13661
12	177	13968
13	189	13855
14	195	13299
15	203	12999
16	224	13456
17	242	13752
18	246	13205
19	262	13340
20	274	13266
21	292	13484
22	310	13709
23	331	13989
24	342	13878
25	354	13788
26	371	13907
27	380	13720
28	392	13644
29	404	13567
30	422	13720
31	432	13572
32	452	13762
33	467	13785
34	487	13961
35	504	14016
36	513	13888
37	520	13670
38	540	13825
39	554	13828
40	561	13636
41	598	14182
42	606	14029
43	613	13846
44	622	13713
45	639	13780
46	642	13540
47	657	13554
48	666	13440
49	684	13516
50	704	13618
51	725	13740
52	746	13853
53	766	13962
54	786	14035
55	807	14142
56	826	14206
57	846	14289
58	865	14338
59	884	14410
60	904	14472
61	925	14558
62	944	14605
63	963	14655
64	984	14723
65	1004	14782
66	1023	14822
67	1043	14876
68	1061	14897
69	1084	14987
70	1107	15068
71	1127	15107
72	1148	15163
73	1167	15196
74	1187	15230
75	1223	15467
76	1243	15497
77	1262	15517
78	1281	15545
79	1300	15560
80	1321	15598
81	1339	15601
82	1358	15617
83	1379	15647
84	1411	15808
85	1433	15851
86	1456	15901
87	1474	15906
88	1493	15911
89	1513	15926
90	1533	15938
91	1553	15954
92	1571	15953
93	1590	15955
94	1606	15927
95	1627	15952
96	1645	15945
97	1663	15942
98	1681	15936
99	1700	15934
100	1718	15929
101	1736	15918
